"data";"close";"open";"high";"low"
"478";"2014-07-22";620,01;624;624,95;616,8
"479";"2014-07-23";618,54;620;623,17;617,5
"480";"2014-07-24";619;618,56;620,9;616,21
"481";"2014-07-25";603,98;619;619,99;591,4
"482";"2014-07-26";600,47;602,43;608;592,5
"483";"2014-07-27";593,82;600,6;600,6;589
"484";"2014-07-28";591,55;593,9;599,78;590,1
"485";"2014-07-29";583,5;591,5;592;572
"486";"2014-07-30";583;584,86;590;577,11
"487";"2014-07-31";565,99;583,04;583,98;561,55
"488";"2014-08-01";580;566;590;561,47
"489";"2014-08-02";594,6;579,49;605,72;579,1
"490";"2014-08-03";587,6;594,6;596,6;585
"491";"2014-08-04";585,71;587,61;589;578,13
"492";"2014-08-05";586,6;587;595;581,22
"493";"2014-08-06";582,94;587,21;588,77;579
"494";"2014-08-07";581,36;582,94;586,3;574,01
"495";"2014-08-08";586,8;582,87;592,7;576,5
"496";"2014-08-09";590,6;586,82;598,88;586,81
"497";"2014-08-10";589,98;590,61;591;584,19
"498";"2014-08-11";588,61;588,61;594,49;583,31
"499";"2014-08-12";572,51;587,97;588,7;567,02
"500";"2014-08-13";569,54;573,32;578,8;562,51
"501";"2014-08-14";547,3;569,52;571,4;525
"502";"2014-08-15";510,98;546,25;546,5;451
"503";"2014-08-16";496,39;509,99;519,5;478
"504";"2014-08-17";519,01;496,39;523,11;484,5
"505";"2014-08-18";497,4;519,54;522,43;484,82
"506";"2014-08-19";467,04;497,57;512,3;443
"507";"2014-08-20";487;467,95;492,61;462,9
"508";"2014-08-21";511;487,24;521,89;464
"509";"2014-08-22";517,47;510,61;534,89;510,6
"510";"2014-08-23";514,13;518,24;525;503,7
"511";"2014-08-24";499,5;514,42;515,58;491,52
"512";"2014-08-25";510,82;498,85;517,7;495,71
"513";"2014-08-26";501,76;511,41;511,41;497,55
"514";"2014-08-27";513,34;501,49;517,47;497,75
"515";"2014-08-28";508,35;512,3;522,8;508,1
"516";"2014-08-29";505,87;508,3;514,77;503,86
"517";"2014-08-30";508,52;505,87;513,99;498,8
"518";"2014-08-31";499,15;508,34;508,37;495,5
"519";"2014-09-01";477,81;499,08;500,27;471,65
"520";"2014-09-02";472,6;477,84;484,9;471,01
"521";"2014-09-03";475,45;472,97;484;468,82
"522";"2014-09-04";474,14;475,46;479,9;472,99
"523";"2014-09-05";489,68;474,14;497,24;473,1
"524";"2014-09-06";481,9;489,69;491,42;478,1
"525";"2014-09-07";482,61;480,62;486,9;480,1
"526";"2014-09-08";479,88;483,08;487,1;479,88
"527";"2014-09-09";471,1;479,88;480,9;464,22
"528";"2014-09-10";473,06;471,16;479,7;463
"529";"2014-09-11";478,12;473,09;489,99;472
"530";"2014-09-12";477,38;478,1;480,6;472,2
"531";"2014-09-13";474,37;477,04;477,98;467
"532";"2014-09-14";478,69;474,34;483,93;472,86
"533";"2014-09-15";476,5;478,69;481,56;475,33
"534";"2014-09-16";474,77;477,12;480,3;474,77
"535";"2014-09-17";466,5;474,77;475,5;462,11
"536";"2014-09-18";458,3;466,65;467,75;451,6
"537";"2014-09-19";424,99;457,8;458,3;408,8
"538";"2014-09-20";393,3;425;431,92;381,5
"539";"2014-09-21";408,4;392,99;426,3;385,5
"540";"2014-09-22";399,21;408,4;414,14;392,23
"541";"2014-09-23";404,99;400,03;411,2;397,67
"542";"2014-09-24";438,65;404,23;447,11;392,15
"543";"2014-09-25";424,51;438,01;440,28;422
"544";"2014-09-26";409,86;424,51;426,97;402,33
"545";"2014-09-27";404,01;409,67;415;396,2
